City name;City name (CDP);City name (carbonn);City name (PKU);City name (GEA);City name (UITP);City name (WB);Definition (CDP);Definition (carbonn);Definition (WB);Study year (WB);Reporting year (CDP);Scope-1 GHG emissions [tCO2 or tCO2-eq];Scope-1 source dataset;Scope-1 GHG emissions units;Year of emission;Emissions protocol;Gases included (CDP);Methodology details (CDP);Increase/Decrease from last year (CDP);Reason for increase/decrease in emissions (CDP);Scope-2 (CDP) [tCO2-eq];Total emissions (CDP) [tCO2-eq];CDP2016 data edited (CDP);Emissions Quality Flag (CDP);S1 lower bound [tCO2] (CDP);S1 upper bound [tCO2] (CDP);S1 mean (CDP) [tCO2];TOT lower bound [tCO2] (CDP);TOT upper bound [tCO2] (CDP);TOT mean (CDP) [tCO2];Scope fraction (CDP);CO2 emissions per capita (PKU) [tCO2/capita];City location (CDP) [degrees];Coordinate source (others);Country;Region;Population (CDP);Population year (CDP);Population (carbonn);Population year (carbonn);Urban population (PKU);Population (GEA);Population (UITP);Population (WB);Population year (WB);Population (others);Population year (others);Population source (others);Population 1950 (WB);Population 1990 (WB);Population 2010 (WB);Population growth rate 1950-2010 (WB) [people/60years];Population growth rate 1990-2010 (WB) [people/20years];Ancillary from GEA+;City area (CDP) [km2];City area (GEA) [km2];City area (WB) [km2];Built-up area (PKU) [km2];City area (others) [km2];City area source year (others);City area source (others);Population density (GEA) [people/km2];Population density (UITP) [people/km2];Population density (WB) [people/km2];Population/sqrt(area) (GEA) [people/km];Population/sqrt(area) (WB) [people/km];Average altitude [m];Average annual temperature (CDP) [degrees Celsius];Weather station ID (GEA+);CDD 23C (GEA+) [degrees C × days];HDD 15.5C (GEA+) [degrees C × days];HDD 15.5C (clim) [degrees C × days];CDD 23C (clim) [degrees C × days];GDP (CDP) [multiple units];GDP unit (CDP);GDP year (CDP);GDP source (CDP);GDP (carbonn) [multiple units];nGDP (carbonn) [multiple units];GDP unit (carbonn);GDP year (carbonn);GDP (PKU) [10000 RMB];Income per capita (PKU) [RMB/capita];GDP-PPP (others) [$BN];GDP-PPP/capita (others) [USD/capita];GDP-PPP source (others);GDP-PPP year (others);nGDP (others) [$BN];nGDP/capita (others) [USD/capita];nGDP source (others);nGDP year (others);GDP-PPP/capita (GEA) [USD/year];GDP-PPP/capita (UITP) [USD/year];GDP-PPP/capita (WB) [USD/year];Total final consumption per capita (GEA) [GJ/capita/yr];Energy per capita CO2 (WB) [tCO2-eq/capita/yr];Diesel price (GEA+) [USD/liter];Gasoline price (GEA+) [USD/liter];Center of commerce index (GEA+) [dimensionless];Household size (GEA+) [people/household];Household size year (GEA+);Household source (GEA+);Household size comment (GEA+);Urbanization ratio (GEA+) [percent];Water bounded (GEA+);Other bounded (GEA+);Mean one-way travel time (others) [minutes];Mean one-way travel time year (others);Mean one-way travel time source (others);Diesel price 2014 (others) [USD/liter];Gasoline price 2014 (others) [USD/liter];Household size (others) [people/household];Household size year (others);Household size source (others);Household size comment (others);Congestion rank (INRIX) [dimensionless];Peak hours spent in congestion (INRIX) [hours];INRIX congestion index (INRIX) [dimensionless];Average congestion rate (INRIX) [percent];Congestion rank (TomTom) [dimensionless];Congestion level (TomTom) [× 100 percent];Congestion change (TomTom) [× 100 percent];Morning peak (TomTom) [percent];Evening peak (TomTom) [percent];Economy (IESE) [dimensionless];Environment (IESE) [dimensionless];Governance (IESE) [dimensionless];Human capital (IESE) [dimensionless];International impact (IESE) [dimensionless];Mobility and transportation (IESE) [dimensionless];Public management (IESE) [dimensionless];Social cohesion (IESE) [dimensionless];Technology (IESE) [dimensionless];Urban planning (IESE) [dimensionless];CIMI (IESE) [dimensionless];CIMI ranking (IESE) [dimensionless];CIMI performance (IESE) [dimensionless];Urban area name (UEX);Low BUA - 1990 (UEX) [km2];Low BUA - 2000 (UEX) [km2];Low BUA - 2014 (UEX) [km2];High BUA - 1990 (UEX) [km2];High BUA - 2000 (UEX) [km2];High BUA - 2014 (UEX) [km2];Low BUA % - 1990 (UEX) [percent];Low BUA % - 2000 (UEX) [percent];Low BUA % - 2014 (UEX) [percent];High BUA % - 1990 (UEX) [percent];High BUA % - 2000 (UEX) [percent];High BUA % - 2014 (UEX) [percent];Low BUA population density - 1990 (UEX) [people/km2];High BUA population density - 1990 (UEX) [people/km2];Low BUA population density - 2000 (UEX) [people/km2];High BUA population density - 2000 (UEX) [people/km2];Low BUA population density - 2014 (UEX) [people/km2];High BUA population density - 2014 (UEX) [people/km2];Exports (others) [m3];Production (others) [m3];Natgas Export/Production ratio (others);CH4_waste/capita (others) [tCH4/capita];CH4_waste+natgas/capita (others) [tCH4/capita];Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita];Year from CIA (others);AQF (CDP/GEA);AQF (CDP/WB);AQF (CDP/OTHERS);AQF (PKU/GEA);AQF (PKU/WB);AQF (PKU/OTHERS);PQF (CDP);PQF (carbonn);PQF (WB);PQF (WB2010);PQF (OTHERS);HQF (GEA+);HQF (OTHERS)
Cascais;Cascais;;;;;;Administrative boundary of a local government;;;;2016;565382.0;CDP;tCO2;2010;2006 IPCC Guidelines for National Greenhouse Gas Inventories;CO2;this was made with calculous platforms from international organizations such as UN (IPCC, and ICLEI) as well as EU comission;Decreased;We have verified a decrease in fuel consumption between the mentioned time period.;266221.0;831603.0;CDP2016 TOT recalculated by summing both CDP2016 scopes.;A;;;;;;;1.0;;38.6970565,-9.4222945;https://en.wikipedia.org/wiki/Cascais;Portugal;Europe;208122.0;2014.0;;;;;;;;206479.0;2011;https://en.wikipedia.org/wiki/Cascais;;;;;;;97.0;;;;97.4;;https://en.wikipedia.org/wiki/Cascais;;;;;;;17.0;;;;464;73;;;2014;;;;;;;;;;;2008;;;;;;;;;;;;;;;;;;;;30.0861860671899;2011;"Statistics Portugal, Population and housing census – 2001; https://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_indicadores&indOcorrCod=0000685&selTab=tab0&xlang=en";1.6400000000000001;1.8900000000000001;;;;;;;;;;;;;;;;;;;;;;;;;;;see: Lisbon Urban Area;;;;;;;;;;;;;;;;;;;0.0;1.0;0.0;0.031127578500000003;0.0361368851;0.0361368851;;;;1.0;;;;1.0;;;;1.0;;
Roma;Roma Capitale;;;Roma (Rome);Rome;;Administrative boundary of a local government;;;;2016;;CDP;tCO2;2010;Other;CO2;The metodology is top - down, using data of primary energy source amount.;Decreased;;;10008879.0;;D;;;;;;;;;41.8723889,12.4801802;https://en.wikipedia.org/wiki/Rome;Italy;Europe;2868347.0;2015.0;;;;2802500.0;2654187.0;;;2890000.0;2016;http://www.c40.org/cities/rome;;;;;;1.0;1285.0;1285.31;;;1285.0;2016;http://www.c40.org/cities/rome;2180.4078393539303;5581.0;;78170.2818837785;;20.0;16.0;LIRA;309.0;1085.0;1457;84;90965338.0;;2013;Chamber of Commerce;;;;;;;163.243;38025.0;[1];2014;189.91929;46580.67571664167;[24];2012;36732.909341985185;25542.22;;60.330589022304366;;1.63;1.57;45.99;2.41;2004;http://www.urbanaudit.org;;67.58800000000001;0.0;Near coast, not on - small river;37.7;2015;Waze, cited in http://www.businessinsider.fr/us/the-15-cities-with-the-longest-commutes-in-the-world-2015-10/;2.01;2.14;2.1;2013;eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en];;114.0;35.0;6.2;11.1%;27;0.4;0.02;74%;68%;78.0;36.0;89.0;41.0;9.0;65.0;60.0;115.0;60.0;16.0;71.64;43.0;RA;Roma Capitale Urban Area;451.6875;480.75;500.5625;547.0;626.1875;710.6875;0.45228111896864603;0.434306363277058;0.41326109391124904;0.547718881031354;0.565693636722941;0.586738906088751;231.664609367491;2223.9139365561;474.6076009349969;4490.50190843757;459.6201844993351;4215.2333627187;68000000.0;7800000000.0;0.01;0.011383130900000002;0.015145862400000001;0.015113059100000001;;1.0;;1.0;;;;0.0;;;;0.0;1.0;1.0
Jingzhou;;;Jingzhou;;;;;;;;;778879.269628;PKU;tCO2;2010;Other;;;;;;;;;;;;;;;;0.32229015808600003;;wikipedia;China;East Asia;;;;;2416702.0;;;;;1154086.0;;wikipedia, urban values;;;;;;;;;;71.7;1562.2;;(urban), from wikipedia;;;;;;;;;;;1123;581;;;;;;;;;2975773.0;26507.64;;;;2008;4.0;3466.20450607;[19];;;;;;;;;;;;;;;;;;;;1.09;1.17;;;;;;;;;;;;;;;;;;;;;;;;;;;Jingzhou Urban Area;67.9375;90.5625;107.1875;56.375;69.9375;105.25;0.5465057817998991;0.5642523364485981;0.5045601647543401;0.45349421820010105;0.43574766355140204;0.49543983524565904;2433.3766379073604;13964.4226769657;1623.97760716302;14048.994647887701;929.534486193305;8162.46604605922;;;;;;;;;;;;;0.0;;;;;;;
Detroit;City of Detroit;;;;;;Administrative boundary of a local government;;;;2016;5520240.0;CDP;tCO2-eq;2012;U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI);"CO2;CH4;N2O";;Stayed the same;This is the only inventory we have done.  The data has not been updated;4809082.0;10329322.0;S1 derived from TOT - S2 in CDP2016 dataset;C;4832495.285029815;5178939.420918392;5005717.352974104;9641577.285029814;9988021.420918392;9814799.352974102;1.0;;42.331427,-83.0457538;https://en.wikipedia.org/wiki/Detroit;USA;North America;688701.0;2013.0;;;;;;;;672795.0;2016;https://www.census.gov/quickfacts/fact/table/detroitcitymichigan/PST045216;;;;;;;359.0;;;;359.3611125;2010;https://www.census.gov/quickfacts/fact/table/detroitcitymichigan/PST045216;;;;;;192.0;9.0;;;;1889;34;186000000000.0;USD     US Dollar;2010;BEA, BLS, Brookings;;;;;;;207.538;48421.0;[1];2014;179.0;41618.228318995585;[19];;;;;;;;;;;;;;;;;26.8;(2011-2015);;0.97;0.86;2.65;2011-2015;https://www.census.gov/quickfacts/fact/table/detroitcitymichigan/PST045216;;128.0;33.0;5.9;6.1%;169;0.16;0.01;23%;41%;;;;;;;;;;;;;;Detroit Urban Area;1028.25;1045.75;1059.625;2356.1875;2628.3125;2743.75;0.303817104023933;0.28463043293357104;0.278601242317678;0.6961828959760671;0.7153695670664291;0.7213987576823221;599.022232623651;3414.38598312925;279.74051284759497;1509.5691683175305;218.593981488791;1354.91584337179;42870000000.0;766200000000.0;0.06;0.017698981699999002;0.036729479100000004;0.0356646952;;;;1.0;;;;1.0;;;;1.0;;1.0
Tangshan;;;Tangshan;;;;;;;;;5782654.8678;PKU;tCO2;2010;Other;;;;;;;;;;;;;;;;1.501608;;wikipedia;China;East Asia;;;;;3850975.0;;;;;3187171.0;;wikipedia, urban values;;;;;;;;;;417.8;3874.0;;(urban), from wikipedia;;;;;;;;;;;2585;184;;;;;;;;;22626477.0;41297.75;0.0015016080000000002;;[1];2014;33.6;11067.1936759;[19];;;;;;;;;;;;;;;;;;;;1.09;1.17;;;;;;;;;;;;;;;;;;;;;;;;;;;Tangshan Urban Area;262.0625;291.3125;328.0;377.75;449.5625;622.9375;0.40959265409788;0.393200607389911;0.34492277357870504;0.5904073459021201;0.6067993926100891;0.6550772264212951;275.691132203052;3151.53165350841;498.826085848057;4561.01567335379;343.163912436077;3640.29841824808;;;;;;;;;;;;;0.0;;;;;;;
Greater London;Greater London Authority;;;London;London;London;Administrative boundary of a local government;;Greater London;2003.0;2016;20620000.0;CDP;tCO2-eq;2013;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);"CO2;CH4;N2O";London's inventory is in line with the GPC, but in 2013 does not fully break down emissions according to GPC requirements. Stationary - Published central government datasets used for energy consumption and CO2 emissions from homes (residential buildings) and workplaces (commercial, industrial and government buildings and facilities). Mobile - The London Atmospheric Emissions Inventory (in-house model) is used to calculate distances travelled from transport of people and goods by  road, railways, water-borne navigation, aviation, and off-road surface transport. National emissions factors are applied.;Increased;London's absolute CO2 emissions decreased slightly in 2013 on 2012 levels. As London reports its CO2 emissions as non weather-corrected,the decrease in 2013 may be partially due to a milder winter in 2013 compared to 2012,and therefore a higher number of heating degree days in 2012 compared to 2013. The use of coal in electricity generation also decreased at the national level. London's emissions fell by 11% on 1990 levels,and,significantly,despite an unprecedented increase in London's population,London's per capita emissions remain the UK's lowest at 4.8 tonnes.;19570000.0;40190000.0;;A;14838290.936239991;16252789.02544;15545539.98084;34408290.93624;35822789.02544;35115539.98084;1.0;;51.504858,-0.078689;https://en.wikipedia.org/wiki/London;United Kingdom;Europe;8600000.0;2015.0;;;;7556900.0;7007100.0;7364100.0;2003.0;8673713.0;2016;Greater London Authority [33]) https://en.wikipedia.org/wiki/List_of_cities_proper_by_population#cite_note-56;8361000.0;7654000.0;8923000.0;1.001084824259128;1.00769968256599;1.0;1572.0;1570.0;1570.0;;1572.15;;Greater London Authority [33 authorities] https://en.wikipedia.org/wiki/List_of_cities_proper_by_population#cite_note-56;4813.3121019108285;5907.0;4690.509554140127;190718.9508751816;185853.11783137594;35.0;11.0;EGLL;17.0;1810.0;1957;0;491550000000.0;USD     US Dollar;2014;An indicative value for London's GDP has been estimated from 2014 per capita data ($57,157) published by Brookings (http://www.brookings.edu/research/reports2/2015/01/22-global-metro-monitor);;;;;;;;;;;;;;;53144.87752163332;22362.9;53144.87752163332;74.48595111402909;6.3;1.65;1.44;79.17;2.47;2011.0;http://data.london.gov.uk/datastorefiles/documents/2011-census-first-results.pdf;;79.007;0.0;Major River;37.0;2009;TORONTO AS A GLOBAL CITY:Scorecard on Prosperity – 2015, pg. 25, report by Toronto Board of Trade (downloaded fie: Toronto_scorecard_2015.pdf);1.99;1.92;2.47;2011;http://data.london.gov.uk/datastorefiles/documents/2011-census-first-results.pdf;;7.0;73.0;13.9;12.7%;25;0.4;0.02;64%;68%;4.0;35.0;23.0;1.0;2.0;1.0;34.0;105.0;23.0;22.0;98.71;2.0;A;Greater London Authority Urban Area;652.8125;686.875;717.875;1948.0625;1984.0625;2069.3125;0.250997260537318;0.257166257166256;0.25756250700751204;0.74900273946268;0.742833742833742;0.7424374929924871;437.551272025114;3206.55349774234;314.205455944599;4560.78853422205;282.439165263346;5179.85092273564;10550000000.0;40990000000.0;0.26;0.0181362582;0.026046306800000002;0.0240104197;;1.0;1.0;1.0;;;;1.0;;0.0;1.0;1.0;1.0;1.0
Adelaide;City of Adelaide;;;;;;Administrative boundary of a local government;;;;2016;63724.0;CDP;tCO2-eq;2013;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);"CO2;CH4;N2O";;Decreased;Reduction in electricity consumption,a reduction in the greenhouse gas intensity of the state electricity grid and a change in methodology used for estimating transport inventories.;422817.0;486541.0;;A;41872.9652379316;45693.5509093012;43783.2580736164;464689.9652379316;468510.55090930115;466600.2580736164;1.0;;-34.928499,138.600746;https://en.wikipedia.org/wiki/Adelaide;Australia;Oceania;23169.0;2015.0;;;;;;;;22393.0;2010;https://en.wikipedia.org/wiki/City_of_Adelaide#cite_note-1;;;;;;;16.0;;;;15.57;;https://en.wikipedia.org/wiki/City_of_Adelaide;;;;;;38.0;18.0;;;;528;60;18360000000.0;AUD     Australian Dollar;2015;:  http://economy.id.com.au/adelaide;;;;;;;47.433;36217.0;[1] Berube A., J. L. Trujillo, T. Ran, J. Parilla (Thursday, January 22, 2015), Brookings/Global Metro Monitor Report. Available online at https://www.brookings.edu/wp-content/uploads/2015/01/bmpp_gmm_final.pdf and the 2014 Global Metro Monitor Map, available at https://www.brookings.edu/research/global-metro-monitor/. The data retrieved 27/09/2017.;2014;56.0;46242.774566473985;[19];;;;;;;;;;;;;;;;;33.23;2014-2017;https://www.numbeo.com/traffic/in/Adelaide [BASED ON 37 CONTRIBUTORS];1.28;1.23;1.7000000000000002;2011;http://www.censusdata.abs.gov.au/census_services/getproduct/census/2011/quickstat/SED40001?opendocument&navpos=220;;;;;;100;0.27;0.02;45%;41%;;;;;;;;;;;;;;City of Adelaide Urban Area;234.5625;244.5;250.125;595.0;617.625;639.25;0.28275446394937104;0.283601565898216;0.281236823612086;0.717245536050629;0.7163984341017821;0.7187631763879131;401.9281789077469;6206.60559235331;75.9820796470134;1470.03035279979;74.7925803688524;1789.25977761853;31610000000.0;62640000000.0;0.5;0.0277933709;0.039682077;0.0336826837;;;;1.0;;;;1.0;;;;1.0;;1.0
Pittsburgh;City of Pittsburgh;;;;;;Administrative boundary of a local government;;;;2016;2073556.0;CDP;tCO2-eq;2013;U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI);"CO2;CH4;N2O";;Decreased;There has been significant variation in the way that data was collected an reported,and Pittsburgh had about 30,000 fewer residents in 2013 compared to 2003. Recalculating 2003 and 2008 inventories to compare to the 2013 inventory shows that emissions have decreased by about 4% since the 2008 inventory,but have still increased by 10% since 2003. Several exogenous factors reduced emissions - such as lower electricity emission factors due to a cleaner electric grid,and better fuel efficiency and lower tailpipe emission factors for cleaner vehicles. However,Pittsburgh did see reductions in the tonnage of solid waste sent to landfill and a reduction in vehicle miles traveled. The industrial sector used less electricity in 2013 than in 2003,and less natural gas in 2013 than in 2008. The commercial sector used less electricity in 2013 than in 2008,but used significantly more natural gas. The residential sector increased electricity use and substantially increased natural gas use. The increase in natural gas is likely due to improved data quality,but seems to also correlate to the rise of hydraulic fracturing in the region. Natural gas emissions increased almost three-fold since 2003.;2729490.0;4803046.0;;A;1768276.4805202174;1922057.8139547296;1845167.1472374739;4497766.480520218;4651547.81395473;4574657.147237474;1.0;;40.4406248,-79.9958864;https://en.wikipedia.org/wiki/Pittsburgh;USA;North America;305704.0;2016.0;;;;;;;;303625.0;2016;https://www.census.gov/quickfacts/fact/table/pittsburghcitypennsylvania/PST045216;;;;;;;151.0;;;;143.4077463;2010;https://www.census.gov/quickfacts/fact/table/pittsburghcitypennsylvania/PST045216;;;;;;293.0;11.1;;;;1341;42;135662.0;USD     US Dollar;2014;http://www.pittsburghtoday.org/view_GDP2.html;;;;;;;138.429;58615.0;[1];2014;116.0;49277.82497875956;[19];;;;;;;;;;;;;;;;;23.4;(2011-2015);;0.97;0.86;2.13;2011-2015;https://www.census.gov/quickfacts/fact/table/pittsburghcitypennsylvania/PST045216;;131.0;33.0;5.6;11.0%;146;0.19;0.01;30%;39%;;;;;;;;;;;;;;City of Pittsburgh Urban Area;341.6875;355.875;361.6875;568.625;600.375;629.0625;0.375351870923447;0.372156862745098;0.36506434519303604;0.6246481290765531;0.627843137254901;0.634935654806964;367.82727403026;2704.67753618165;406.78910146802696;1648.76222194825;330.854612048338;1482.2028164085998;42870000000.0;766200000000.0;0.06;0.017698981699999002;0.036729479100000004;0.0356646952;;;;1.0;;;;1.0;;;;1.0;;1.0
Osaka;;Osaka Prefecture;;;Osaka;;;State / Region;;;;50039999.99999999;carbonn;tCO2-eq;2009;Community;;;;;;;;;;;;;;;;;;carbonn;Japan;East Asia;;;8864228.0;2012.0;;;16828737.0;;;8864228.0;2012;Wikipedia;;;;;;1.0;;;;;1899.28;2012;Wikipedia;;9813.0;;;;;;47772;;;1505;199;;;;;;468438010171.8621;;;;;;;;;;;;;;39936.53;;;;1.3;1.42;54.94;;;japan;;85.978;1.0;;;;;1.1;1.38;;;;;;;;;;;;;;33.0;76.0;104.0;27.0;72.0;129.0;55.0;67.0;42.0;104.0;65.39;72.0;RA;Osaka Urban Area;938.625;980.5;986.625;3123.5;3229.6875;3262.0625;0.23106748315229103;0.23288749016522403;0.23221877344474;0.768932516847709;0.7671125098347761;0.767781226555259;3014.5953105732106;11330.8919460456;416.014393689994;5409.17595557491;414.46100027416605;5381.777875434001;;;;;;;;;;;;;;;1.0;;;1.0;;
Hyderabad;;Greater Hyderabad Municipal Corporation;;;;;;Independent municipality;;;;2196031.0;carbonn;tCO2-eq;2010;Community;;;;;;;;;;;;;;;;;;carbonn;India;South Asia;;;6731790.0;2011.0;;;;;;6809970.0;2011;Wikipedia;;;;;;;;;;;650.0;2011;Wikipedia;;;;;;;;;;;0;1105;;;;;;13208847320.9935;;;;;58.0;;[2];2008;16.0;2127659.574468085;[3], [19];;;;;;;;;;;;;;;;;;;;0.91;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;Hyderabad Urban Area;444.75;534.0625;637.5625;371.625;575.5625;863.0;0.544786403307304;0.481299988734933;0.424882335790745;0.455213596692696;0.518700011265067;0.575117664209255;2007.77717649736;14974.0898307774;946.061855592341;11349.0480862917;847.199881123255;10066.3884315889;;;;;;;;;;;;;;;1.0;;;1.0;;
Indore;;Indore Municipal Corporation;;;;;;Municipality;;;;1145839.0;carbonn;tCO2-eq;2007;Community;;;;;;;;;;;;;;;;;;carbonn;India;South Asia;;;2197447.0;2011.0;;;;;;1994397.0;2011;Wikipedia;;;;;;;;;;;389.8;2011;Wikipedia;;;;;;;;;;;0;1206;;;;;;4311742035.769859;;;;;;;;;4.0;1913875.5980861243;[3], [19];;;;;;;;;;;;;;;;;;;;0.91;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;Indore Urban Area;129.25;166.4375;212.625;112.6875;146.0;251.9375;0.534228881425988;0.532706541308262;0.45768868559128206;0.46577111857401204;0.46729345869173705;0.542311314408717;1435.86409067613;14513.3757088944;1526.2763928292902;13801.4994621277;1384.2359137100598;12257.5953401998;;;;;;;;;;;;;;;1.0;;;1.0;;
Brussels;;Brussels Capital Region;;Brussels;Brussels;;;State / Region;;;;3293000.0;carbonn;tCO2-eq;2011;Community;;;;;;;;;;;;;;;;;;carbonn;Belgium;Europe;;;1175173.0;;;1050000.0;948122.0;;;1175173.0;2017;Wikipedia;;;;;;1.0;;161.38;;;161.38;2017;Wikipedia;6506.3824513570435;7239.0;;82654.10802812464;;;;6447;31.0;2024.0;2066;4;;;;;110000000000.00002;127657612403.47;USD;1971;;;254.327;46298.0;[1];2014;;;;;49144.54781255517;28008.58;;86.88;;1.34;1.5;52.16;2.22;2010.0;http://www.bisa.irisnet.be/en/themes/population/population;"Downloaded ""Structure of households (.xls)"" and averaged the household sizes listed in table 1.2.1.1 - let me know if you want to see the work.";97.292;0.0;;;;;1.69;1.9;;;;;71.0;41.0;7.1;12.3%;37;0.38;0.03;71%;77%;49.0;89.0;34.0;68.0;30.0;30.0;84.0;47.0;45.0;53.0;72.89;40.0;RA;Brussels Urban Area;154.3125;155.1875;174.9375;339.625;356.125;373.8125;0.31241300771858804;0.30350812859063603;0.31879271070615;0.6875869922814121;0.6964918714093621;0.6812072892938491;496.146551890495;3363.74008447838;266.104099179252;3779.96921718459;269.077991049831;4325.39317534548;;;;;;;;;;;;;;;;;;0.0;1.0;
Ningbo;;;Ningbo;Ningbo;;;;;;;;6563188.42724;PKU;tCO2;2010;Other;;;;;;;;;;;;;;;;1.26332700063;;wikipedia;China;East Asia;;;;;5195162.0;5604500.0;;;;3491597.0;;wikipedia, urban values;;;;;;1.0;;9816.0;;422.8;2461.8;;(urban), from wikipedia;570.9555827220864;;;56567.84036328356;;;;ZSHC;651.0;1146.0;1113;442;;;;;;;;;30621613.0;46353.97;0.00126332700063;;[1];2014;45.0;12886.5979381;[3], [19];;14866.328071800393;;;72.18818632786706;;1.01;0.99;;2.93;2003.0;http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf;"For ""Zhejiang""";42.522;1.0;;;;;1.09;1.17;;;;;;;;;51;0.34;0.04;58%;69%;;;;;;;;;;;;;;Ningbo Urban Area;398.0;402.5625;371.5;259.25;350.4375;570.125;0.605553442373526;0.534611553784861;0.39453073144829404;0.394446557626474;0.46538844621513903;0.605469268551706;730.666922224261;6097.73658492704;783.3040884363071;6279.48569913605;587.906909119544;5829.51473377933;;;;;;;;;;;0.0;;0.0;;;;;;1.0;
Valledupar;;Municipality of Valledupar;;;;;;Municipality;;;;1114495.0;carbonn;tCO2-eq;2013;Community - GPC;;;;;;;;;;;;;;;;;;carbonn;Colombia;Latin America & Caribbean;;;453212.0;2015.0;;;;;;423260.0;2005;Wikipedia;;;;;;;;;;;4977.66;2005;Wikipedia;;;;;;;;;;;0;1785;;;;;6163680000000.0;2615263845.5732903;COP;2015;;;;;;;2.6152638455732893;;Carbonn. But according to source (https://colombiareports.com/cesar), we assume reported carbonn units are USD and not COP (and scale to $BN);;;;;;;;;;;;;;;;;;;;1.04;1.08;;;;;;;;;;;;;;;;;;;;;;;;;;;Valledupar Urban Area;8.0;11.0;10.1875;18.0;23.8125;29.0;0.30769230769230804;0.31597845601436303;0.259968102073365;0.6923076923076921;0.6840215439856371;0.740031897926635;6052.52557843432;11690.1438303301;1288.34165189415;11788.500349870801;1499.2426494250305;13499.728075750902;;;;;;;;;;;;;;;1.0;;;0.0;;
Nanning;;;Nanning;Nanning;;;;;;;;3640328.0819800003;PKU;tCO2;2010;Other;;;;;;;;;;;;;;;;1.01732512932;;wikipedia;China;East Asia;;;;;3578333.0;6718900.0;;;;4037000.0;;wikipedia, urban values;;;;;;1.0;;;;262.3;;;(urban), from wikipedia;300.0;;;;;;;ZGNN;808.0;350.0;299;617;;;;;;;;;13039407.0;39013.88;0.0010173251293200002;;[1];2014;20.0;5819.02822229;[19];;3753.892299592848;;;23.27200848363017;;1.01;0.99;;3.67;2003.0;http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf;"For ""Guangxi""";42.522;0.0;Large River;;;;1.09;1.17;;;;;;;;;;;;;;;;;;;;;;;;;;;Nanning Urban Area;110.125;122.375;142.625;128.8125;164.125;185.75;0.46089458540413303;0.42713787085514704;0.434335744194898;0.539105414595867;0.572862129144852;0.565664255805101;1421.20754327811;17180.3324887968;1026.8453078924001;13356.5381292957;921.21490444093;13338.9518943505;;;;;;;;;;;;;;;;;;;1.0;
Qiqihaer;;;Qiqihaer;;;;;;;;;1447990.44292;PKU;tCO2;2010;Other;;;;;;;;;;;;;;;;0.6119075299;;wikipedia;China;East Asia;;;;;2366355.0;;;;;1481637.0;;wikipedia, urban values;;;;;;;;;;154.1;4039.3;;(urban), from wikipedia;;;;;;;;;;;4699;109;;;;;;;;;4413846.0;31794.22;;;;2008;7.0;4504.5045045000015;[19];;;;;;;;;;;;;;;;;;;;1.09;1.17;;;;;;;;;;;;;;;;;;;;;;;;;;;Qiqihaer Urban Area;56.25;66.1875;76.75;100.25;119.625;140.375;0.35942492012779603;0.356205852674067;0.353483016695452;0.6405750798722051;0.6437941473259331;0.6465169833045481;1993.3897418675501;6339.879666534301;527.077761751446;8127.3544807872495;363.429643656804;6680.41562881538;;;;;;;;;;;;;0.0;;;;;;;
Anshan;;;Anshan;;;;;;;;;3293364.54581;PKU;tCO2;2010;Other;;;;;;;;;;;;;;;;1.344745821279999;;wikipedia;China;East Asia;;;;;2449061.0;;;;;1529850.0;;wikipedia, urban values;;;;;;;;;;200.8;624.0;;(urban), from wikipedia;;;;;;;;;;;3427;86;;;;;;;;;12561795.0;36028.53;0.00134474582128;;[1];2014;20.0;13157.8947368;[19];;;;;;;;;;;;;;;;;;;;1.09;1.17;;;;;;;;;;;;;;;;;;;;;;;;;;;Anshan Urban Area;275.375;304.6875;327.5625;429.1875;486.6875;634.1875;0.390845382772997;0.38501026694045204;0.340590070184558;0.609154617227002;0.6149897330595481;0.659409929815441;818.280222284152;7833.92505387037;432.11923186135596;5226.0168970636405;353.92024252655403;4069.94213073158;;;;;;;;;;;;;0.0;;;;;;;
